iter	Accuracy	Logloss
0	0.9309803922	0.6418077042
1	0.9333333333	0.5859465016
2	0.9450980392	0.5423260145
3	0.9396078431	0.5071882774
4	0.9469281046	0.4733064458
5	0.96	0.4360242998
6	0.9644444444	0.4014766851
7	0.954248366	0.3768000165
8	0.9529411765	0.3586935837
9	0.9490196078	0.3405894623
10	0.9573856209	0.3155987393
11	0.9534640523	0.3026870199
12	0.9667973856	0.2891535122
13	0.9665359477	0.2793088966
14	0.9631372549	0.26927965
15	0.9649673203	0.254124728
16	0.9613071895	0.2444963675
17	0.9691503268	0.2304526463
18	0.9735947712	0.2174596672
19	0.9730718954	0.2115624014
20	0.9738562092	0.2025948218
21	0.9728104575	0.1948607707
22	0.9720261438	0.1899768022
23	0.9725490196	0.1846566971
24	0.9725490196	0.177801911
25	0.971503268	0.1744398751
26	0.9728104575	0.1698124829
27	0.9730718954	0.1642211736
28	0.9730718954	0.1602338481
29	0.9735947712	0.1580935523
30	0.9735947712	0.1563289016
31	0.9741176471	0.1525656224
32	0.9738562092	0.1503604704
33	0.9738562092	0.1489751564
34	0.9741176471	0.1467171467
35	0.9741176471	0.1448122789
36	0.974379085	0.1425043124
37	0.974379085	0.1407239804
38	0.9746405229	0.1394741631
39	0.9746405229	0.1379742601
40	0.9749019608	0.1354370786
41	0.9751633987	0.133744968
42	0.9751633987	0.1325247738
43	0.9756862745	0.1312399766
44	0.9751633987	0.1300824759
45	0.9756862745	0.1292193475
46	0.9751633987	0.1272400909
47	0.9754248366	0.1259102296
48	0.9751633987	0.1250221599
49	0.9756862745	0.1236394572
50	0.9754248366	0.122583065
51	0.9754248366	0.1211658093
52	0.9754248366	0.120222945
53	0.9754248366	0.1196682847
54	0.9756862745	0.1188929348
55	0.9759477124	0.1174460671
56	0.9759477124	0.1165982074
57	0.9759477124	0.1160460559
58	0.9759477124	0.1154441112
59	0.9764705882	0.1146369585
60	0.9764705882	0.1139457845
61	0.9764705882	0.1136119005
62	0.9764705882	0.1129465797
63	0.9764705882	0.1121073069
64	0.9764705882	0.111534659
65	0.9767320261	0.1109247203
66	0.9767320261	0.1099847675
67	0.9767320261	0.1093861646
68	0.9767320261	0.1084448719
69	0.9767320261	0.1077921642
70	0.9767320261	0.1073632619
71	0.9767320261	0.1069195504
72	0.9767320261	0.106433506
73	0.9767320261	0.1059293523
74	0.9767320261	0.105271473
75	0.9767320261	0.1046661374
76	0.9767320261	0.1043669
77	0.9767320261	0.1040025009
78	0.9769934641	0.10342064
79	0.9769934641	0.1030310834
80	0.9769934641	0.1025926742
81	0.9769934641	0.1019382925
82	0.9769934641	0.1016299092
83	0.9769934641	0.1012091009
84	0.9769934641	0.1009423338
85	0.9769934641	0.1008569883
86	0.9769934641	0.1006704692
87	0.9769934641	0.1003296772
88	0.9769934641	0.09974903242
89	0.9775163399	0.09938847218
90	0.9775163399	0.09916567171
91	0.9777777778	0.09877956688
92	0.9777777778	0.09840776476
93	0.9777777778	0.09780979374
94	0.9777777778	0.0973658175
95	0.9780392157	0.09694921343
96	0.9780392157	0.09672272563
97	0.9780392157	0.09653020886
98	0.9780392157	0.0963407843
99	0.9780392157	0.09618340846
100	0.9780392157	0.09602145757
101	0.9783006536	0.09561516663
102	0.9785620915	0.09515846104
103	0.9785620915	0.09503832853
104	0.9785620915	0.09462994683
105	0.9785620915	0.09428273132
106	0.9785620915	0.09373166956
107	0.9785620915	0.09325951232
108	0.9785620915	0.09305905337
109	0.9788235294	0.09298800966
110	0.9788235294	0.0925023898
111	0.9788235294	0.09215898504
112	0.9788235294	0.09189430995
113	0.9788235294	0.09170798962
114	0.9788235294	0.09143486427
115	0.9788235294	0.09116381185
116	0.9790849673	0.09074901441
117	0.9790849673	0.09058074231
118	0.9790849673	0.09029436861
119	0.9790849673	0.08991496089
120	0.9788235294	0.08943958562
121	0.9788235294	0.08920006633
122	0.9788235294	0.08912109831
123	0.9788235294	0.088771383
124	0.9788235294	0.08860736421
125	0.9788235294	0.08834866556
126	0.9788235294	0.08801226782
127	0.9788235294	0.08745418373
128	0.9788235294	0.08726570075
129	0.9788235294	0.08691634926
130	0.9788235294	0.08662591111
131	0.9788235294	0.08629562549
132	0.9788235294	0.08621571066
133	0.9788235294	0.0860952795
134	0.9790849673	0.08575975748
135	0.9793464052	0.08546430026
136	0.9793464052	0.08517907735
137	0.9793464052	0.08466155823
138	0.9793464052	0.0844116522
139	0.9793464052	0.08414372413
140	0.9796078431	0.08382583831
141	0.9796078431	0.08348594503
142	0.9793464052	0.08312079883
143	0.9796078431	0.08287516228
144	0.9793464052	0.08253933435
145	0.9793464052	0.08227971606
146	0.9793464052	0.08219723554
147	0.9793464052	0.08196682683
148	0.9793464052	0.08164678935
149	0.9793464052	0.08147593479
150	0.9793464052	0.08138062091
151	0.9793464052	0.0811949601
152	0.9796078431	0.08088162419
153	0.980130719	0.08065010843
154	0.980130719	0.08038384434
155	0.980130719	0.08023446653
156	0.980130719	0.08014052037
157	0.980130719	0.07980538074
158	0.980130719	0.07964847076
159	0.980130719	0.0793955021
160	0.980130719	0.07900405989
161	0.980130719	0.0787713281
162	0.980130719	0.07851401462
163	0.980130719	0.07826882068
164	0.980130719	0.07804335437
165	0.980130719	0.07778248377
166	0.980130719	0.0775969164
167	0.980130719	0.07728043957
168	0.980130719	0.07720286442
169	0.980130719	0.07709966745
170	0.980130719	0.07701937843
171	0.980130719	0.0768686848
172	0.980130719	0.07655010391
173	0.980130719	0.07648111839
174	0.980130719	0.07612088116
175	0.9803921569	0.07571025635
176	0.9803921569	0.07534413152
177	0.9803921569	0.07528450713
178	0.9803921569	0.0751399497
179	0.9803921569	0.07502898407
180	0.9803921569	0.07491451591
181	0.9803921569	0.07461638872
182	0.9803921569	0.07423779365
183	0.9803921569	0.07410138929
184	0.9803921569	0.07393745463
185	0.9803921569	0.07372862078
186	0.9803921569	0.073404636
187	0.9803921569	0.07324342673
188	0.9803921569	0.0729808465
189	0.9806535948	0.07269403684
190	0.9806535948	0.07257272365
191	0.9806535948	0.07240837828
192	0.9806535948	0.07226255518
193	0.9806535948	0.07210709524
194	0.9806535948	0.07199969097
195	0.9806535948	0.07171925869
196	0.9806535948	0.0714716223
197	0.9806535948	0.07111171896
198	0.9806535948	0.07083908985
199	0.9806535948	0.07064959103
200	0.9806535948	0.07061603283
201	0.9806535948	0.07047009491
202	0.9806535948	0.0702265541
203	0.9806535948	0.06985081766
204	0.9809150327	0.06975874686
205	0.9809150327	0.06966308244
206	0.9809150327	0.06961509168
207	0.9809150327	0.06950336797
208	0.9809150327	0.06942932999
209	0.9809150327	0.06932682775
210	0.9809150327	0.06915285768
211	0.9809150327	0.06890414023
212	0.9809150327	0.06879811702
213	0.9809150327	0.06867687874
214	0.9809150327	0.06837834161
215	0.9809150327	0.06829670837
216	0.9809150327	0.06812840665
217	0.9809150327	0.06800620094
218	0.9809150327	0.06782327879
219	0.9809150327	0.06773417471
220	0.9809150327	0.06745441645
221	0.9809150327	0.06731890752
222	0.9809150327	0.06706379554
223	0.9809150327	0.06677769975
224	0.9809150327	0.06655525765
225	0.9809150327	0.06637778644
226	0.9811764706	0.06635281823
227	0.9811764706	0.06598012111
228	0.9811764706	0.06585459262
229	0.9811764706	0.06565231659
230	0.9811764706	0.0654022062
231	0.9811764706	0.06506037422
