iter	Passed	Remaining
0	5	5422
1	10	5354
2	15	5147
3	20	5062
4	25	5029
5	30	4992
6	35	4983
7	39	4949
8	45	4966
9	50	4969
10	55	4962
11	60	4978
12	65	4970
13	70	4955
14	75	4959
15	80	4950
16	85	4936
17	90	4942
18	95	4938
19	100	4923
20	105	4912
21	110	4907
22	115	4890
23	120	4880
24	125	4878
25	129	4858
26	134	4845
27	139	4842
28	144	4828
29	149	4821
30	154	4814
31	158	4801
32	164	4813
33	168	4799
34	174	4805
35	179	4810
36	185	4829
37	190	4824
38	195	4811
39	200	4809
40	205	4803
41	210	4796
42	215	4790
43	220	4792
44	225	4783
45	230	4777
46	235	4775
47	240	4768
48	245	4761
49	250	4757
50	255	4748
51	260	4741
52	264	4730
53	269	4727
54	274	4718
55	279	4712
56	284	4708
57	289	4700
58	294	4693
59	299	4688
60	304	4683
61	309	4678
62	314	4675
63	319	4674
64	324	4671
65	329	4669
66	335	4668
67	340	4662
68	345	4657
69	350	4656
70	355	4649
71	360	4646
72	365	4645
73	370	4639
74	375	4632
75	380	4627
76	385	4620
77	390	4614
78	395	4605
79	400	4600
80	405	4595
81	409	4587
82	415	4586
83	420	4580
84	424	4572
85	429	4568
86	434	4561
87	439	4553
88	444	4546
89	449	4542
90	454	4536
91	458	4527
92	463	4523
93	468	4516
94	473	4510
95	478	4506
96	483	4498
97	488	4493
98	491	4472
99	496	4467
100	501	4460
101	505	4454
102	511	4450
103	515	4443
104	520	4437
105	525	4434
106	530	4429
107	535	4424
108	540	4420
109	545	4414
110	550	4411
111	555	4407
112	561	4406
113	566	4400
114	571	4395
115	576	4392
116	581	4384
117	585	4379
118	590	4373
119	595	4368
120	600	4364
121	605	4360
122	611	4356
123	616	4352
124	621	4350
125	626	4345
126	631	4340
127	636	4334
128	641	4330
129	646	4325
130	650	4317
131	655	4312
132	660	4307
133	665	4301
134	670	4298
135	676	4295
136	681	4290
137	685	4284
138	690	4279
139	695	4273
140	700	4267
141	705	4261
142	710	4255
143	714	4249
144	719	4245
145	724	4239
146	729	4235
147	734	4229
148	740	4229
149	745	4223
150	750	4220
151	755	4214
152	760	4209
153	765	4203
154	770	4200
155	775	4193
156	779	4187
157	784	4182
158	789	4176
159	794	4169
160	799	4164
161	804	4159
162	808	4153
163	813	4147
164	818	4143
165	823	4139
166	828	4133
167	833	4128
168	838	4122
169	843	4118
170	848	4113
171	853	4109
172	858	4102
173	862	4095
174	867	4091
175	872	4085
176	877	4079
177	882	4074
178	887	4068
179	891	4062
180	896	4057
181	901	4052
182	906	4047
183	911	4042
184	916	4037
185	921	4034
186	926	4028
187	931	4024
188	936	4019
189	941	4015
190	946	4010
191	951	4004
192	956	3999
193	961	3995
194	966	3990
195	971	3986
196	976	3980
197	981	3975
198	986	3969
199	990	3962
200	995	3956
201	999	3950
202	1004	3943
203	1009	3937
204	1013	3931
205	1018	3925
206	1023	3919
207	1027	3912
208	1032	3907
209	1037	3901
210	1043	3900
211	1048	3897
212	1054	3894
213	1059	3891
214	1064	3886
215	1068	3879
216	1073	3874
217	1078	3869
218	1083	3864
219	1088	3858
220	1093	3854
221	1098	3847
222	1102	3842
223	1107	3836
224	1112	3831
225	1117	3825
226	1121	3819
227	1126	3813
228	1131	3808
229	1135	3802
230	1140	3797
231	1146	3793
