iter	Logloss
0	0.6740738654
1	0.6567320406
2	0.6412099192
3	0.6274929211
4	0.6153450753
5	0.6043023749
6	0.5944825296
7	0.5856367948
8	0.5777159988
9	0.5706615083
10	0.5644418299
11	0.5588287166
12	0.5539034791
13	0.5493455972
14	0.5452420319
15	0.5415790301
16	0.5383232663
17	0.5353640991
18	0.5327000957
19	0.5302894412
20	0.5281405434
21	0.5262178172
22	0.5244885956
23	0.5229377991
24	0.5215564595
25	0.5203093915
26	0.5191779064
27	0.5181763663
28	0.5172856062
29	0.5164706195
30	0.5157373683
31	0.5150915892
32	0.5145094061
33	0.513975678
34	0.5134889512
35	0.5130486427
36	0.5126527344
37	0.5123040444
38	0.5119913027
39	0.5117050964
40	0.5114416296
41	0.5112090464
42	0.5109934801
43	0.5107853995
44	0.5106137761
45	0.5104520509
46	0.5103025403
47	0.5101725548
48	0.5100462893
49	0.5099383662
50	0.5098339151
51	0.509737071
52	0.509649572
53	0.5095808705
54	0.5095088685
55	0.509450168
56	0.5093968347
57	0.5093441314
58	0.5092978659
59	0.509250105
60	0.5091911391
61	0.5091574622
62	0.509121296
63	0.5090925008
64	0.5090664262
65	0.5090334293
66	0.5090081684
67	0.508980851
68	0.5089570934
69	0.5089378392
70	0.5089175629
71	0.5089003937
72	0.5088866452
73	0.5088686388
74	0.5088561381
75	0.5088407078
76	0.5088309572
77	0.5088226019
78	0.50880659
79	0.508799013
80	0.5087926397
81	0.5087804893
82	0.5087670854
83	0.5087557421
84	0.5087519931
85	0.5087376697
86	0.5087218149
87	0.508714819
88	0.5087104654
89	0.5087044751
90	0.5087007508
91	0.508673495
92	0.5086643971
93	0.5086561227
94	0.5086496077
95	0.5086285731
96	0.5086226556
97	0.5086147954
98	0.5086055008
99	0.5085974506
100	0.5085941721
101	0.5085897894
102	0.5085805574
103	0.508569331
104	0.5085593046
105	0.5085569752
106	0.5085439768
107	0.5085393371
108	0.5085351056
109	0.5085246363
110	0.5085199458
111	0.5085175757
112	0.508515477
113	0.5085083857
