iter	Passed	Remaining
0	8	85669
1	16	81389
2	24	81796
3	33	82719
4	41	83018
5	49	83281
6	58	84009
7	68	85509
8	77	85907
9	86	86546
10	95	86453
11	104	87182
12	113	86911
13	122	87242
14	129	86203
15	137	86000
16	145	85351
17	153	84872
18	160	84387
19	167	83717
20	176	83722
21	183	83357
22	190	82776
23	198	82359
24	205	82016
25	212	81652
26	220	81385
27	228	81546
28	237	81658
29	246	81791
30	255	82064
31	263	82155
32	271	82136
33	280	82344
34	289	82532
35	299	82854
36	307	82733
37	316	82922
38	323	82693
39	332	82711
40	339	82403
41	346	82161
42	353	81825
43	360	81554
44	368	81422
45	375	81153
46	382	80962
47	389	80740
48	396	80518
49	403	80308
50	410	80151
51	417	79933
52	425	79881
53	433	79863
54	441	79786
55	449	79830
56	457	79862
57	466	79918
58	474	80012
59	483	80018
60	491	80073
61	499	80140
62	508	80242
63	516	80210
64	525	80368
65	533	80234
66	540	80130
67	547	80000
68	554	79851
69	562	79761
70	569	79595
71	576	79458
72	583	79296
73	589	79106
74	596	78932
75	603	78745
76	609	78572
77	616	78380
78	623	78266
79	630	78160
80	637	78091
81	645	78032
82	653	78069
83	660	78007
84	669	78037
85	677	78049
86	685	78067
87	693	78128
88	703	78288
89	711	78301
90	720	78438
91	728	78405
92	735	78389
93	742	78245
94	751	78336
95	758	78264
96	766	78207
97	772	78070
98	779	77951
99	786	77853
100	793	77764
101	800	77665
102	807	77568
103	814	77486
104	821	77369
105	828	77305
106	836	77323
107	844	77322
108	852	77349
109	860	77345
110	868	77400
111	876	77407
112	885	77475
113	893	77518
