iter	RMSE
0	0.8873794958
50	0.881511212
100	0.8770812136
150	0.8735455936
200	0.8706352663
250	0.8681502789
300	0.8660834622
350	0.8641843172
400	0.862526528
450	0.8610380097
500	0.8596893604
550	0.8584693308
600	0.8573705246
650	0.856372847
700	0.8554369228
750	0.8545797347
800	0.8537726137
850	0.8530263444
900	0.8523157791
950	0.8516249332
1000	0.8510147825
1050	0.8504355478
1100	0.8498716926
1150	0.8493447637
1200	0.8488384349
1250	0.848356
1300	0.847898829
1350	0.8474522482
1400	0.8470147615
1450	0.8466050742
1500	0.8462069145
1550	0.8458161761
1600	0.8454618546
1650	0.8451124062
1700	0.8447593387
1750	0.844417069
1800	0.8440870934
1850	0.8437726993
1900	0.8434768125
1950	0.8431628009
2000	0.8428759175
2050	0.8425768155
2100	0.8422967864
