iter	Passed	Remaining
0	1232	12326689
1	2052	10258053
2	2814	9379544
3	3670	9172459
4	4570	9136879
5	5339	8894527
6	6191	8838919
7	6900	8619312
8	7807	8667215
9	8468	8460178
10	9220	8372907
11	10099	8406530
12	10608	8149427
13	11266	8036506
14	11961	7962126
15	12752	7957613
16	13450	7898871
17	14149	7846790
18	14855	7803622
19	15587	7777960
20	16400	7793158
21	17112	7761174
22	17895	7762943
23	18525	7700591
24	19213	7666369
25	19962	7657838
26	20731	7657668
27	21437	7634977
28	22113	7603348
29	22817	7582884
30	23557	7575589
31	24284	7564747
32	25037	7562181
33	25745	7546358
34	26325	7495319
35	27098	7500218
36	27765	7476536
37	28533	7480291
38	29252	7471374
39	29956	7459050
40	30736	7465849
41	31380	7440220
42	32042	7419644
43	32704	7400035
44	33588	7430448
45	34231	7407369
46	34795	7368488
47	35491	7358590
48	36102	7331758
49	36734	7310152
50	37440	7303821
51	38154	7299330
52	38725	7267906
53	39310	7240451
54	39988	7230573
55	40626	7214043
56	41204	7187684
57	41846	7173028
58	42619	7181084
59	43267	7168042
60	43968	7164026
61	44714	7167280
62	45391	7159544
63	46033	7146722
64	46712	7139765
65	47441	7140618
66	48006	7117213
67	48780	7124832
68	49479	7121510
69	50213	7123109
70	50844	7110286
71	51638	7120430
72	52332	7116524
73	53061	7117391
74	53829	7123466
75	54493	7115670
76	55196	7113130
77	55836	7102695
78	56600	7107990
79	57242	7098087
80	57884	7088403
81	58650	7093817
82	59357	7092194
83	60099	7094637
84	60713	7082027
85	61492	7088801
86	62113	7077371
87	62757	7068815
88	63509	7072386
89	64174	7066369
90	64879	7064748
91	65498	7053924
92	66164	7048271
93	66843	7044158
94	67484	7036159
95	68068	7022375
96	68863	7030434
97	69558	7028264
98	70207	7021489
99	70828	7012022
100	71562	7013869
101	72184	7004771
102	72856	7000631
103	73577	7001137
104	74243	6996533
105	74830	6984605
106	75480	6978785
107	76095	6969759
108	76597	6950682
109	77311	6951005
110	78023	6951141
111	78802	6957164
112	79427	6949588
113	80111	6947183
114	80726	6938980
115	81347	6931355
116	82077	6933094
117	82749	6929901
118	83348	6920701
119	83985	6914800
120	84607	6907710
121	85324	6908504
122	85888	6896896
123	86495	6888976
124	87187	6887801
125	87761	6877418
126	88441	6875424
127	88990	6863359
128	89530	6850810
129	90208	6848922
130	90789	6839711
131	91398	6832739
132	91956	6822055
133	92569	6815571
134	93187	6809589
135	93891	6809925
136	94467	6801005
137	95048	6792501
138	95794	6795904
139	96419	6790702
140	97018	6783741
141	97759	6786703
142	98377	6781168
143	99045	6779119
144	99666	6773856
145	100321	6771020
146	100991	6769180
147	101358	6747166
148	101992	6743156
149	102581	6736196
150	103267	6735616
151	103853	6728614
152	104485	6724619
153	105215	6726951
154	105806	6720409
155	106433	6716212
156	107033	6710361
157	107719	6709973
158	108278	6701662
159	108876	6695903
160	109456	6689088
161	110053	6683379
162	110752	6683879
163	111298	6675171
164	111976	6674491
165	112537	6666818
166	113200	6665273
167	113826	6661586
168	114489	6660060
169	115242	6663748
170	115777	6654851
171	116398	6650974
172	116987	6645284
173	117744	6649180
174	118447	6649976
175	119089	6647345
176	119837	6650632
177	120572	6653145
178	121196	6649560
179	121715	6640238
180	122428	6641561
181	122948	6632486
182	123724	6637174
183	124428	6637995
184	125109	6637584
185	125693	6632009
186	126379	6631862
187	127008	6628771
188	127589	6623186
189	128201	6619243
190	128806	6615008
191	129317	6605994
192	129906	6600999
193	130456	6594093
194	131001	6587037
195	131485	6576952
196	132133	6575169
197	132805	6574525
198	133376	6568970
199	133999	6565969
200	134727	6568149
201	135435	6569313
202	136122	6569433
203	136711	6564825
204	137229	6556915
205	137790	6551054
206	138459	6550394
207	139030	6545140
208	139714	6545174
209	140316	6541403
210	140965	6539884
211	141690	6541810
212	142220	6534798
213	142774	6528915
214	143362	6524650
215	143856	6516154
216	144504	6514666
217	145236	6516967
218	145920	6517126
219	146537	6514259
220	147208	6513790
221	147863	6512639
222	148454	6508706
223	149089	6506712
224	149683	6502911
225	150225	6496935
226	150834	6493852
227	151480	6492416
228	152084	6489155
229	152577	6481207
230	153245	6480756
231	153828	6476711
232	154497	6476288
233	155075	6472068
234	155761	6472385
235	156321	6467469
236	156879	6462514
237	157567	6462929
238	157996	6452751
239	158629	6450915
240	159267	6449345
241	159990	6451190
242	160547	6446330
243	161216	6446034
244	161701	6438369
245	162300	6435269
246	162940	6433828
247	163605	6433389
248	164189	6429765
249	164776	6426302
250	165439	6425776
251	166085	6424615
252	166677	6421374
253	167336	6420728
254	167947	6418221
255	168630	6418515
256	169341	6419810
257	170005	6419373
258	170594	6416075
259	171112	6410155
260	171693	6406619
261	172265	6402739
262	172734	6395123
263	173333	6392313
264	174001	6392093
265	174493	6385399
266	175122	6383769
267	175731	6381398
268	176393	6380972
269	176777	6370536
270	177320	6365857
271	177934	6363786
272	178303	6352948
273	178948	6352010
274	179619	6352000
275	180232	6349929
276	180695	6342611
277	181220	6337485
278	181786	6333859
279	182317	6329021
280	182822	6323308
281	183510	6323968
282	184090	6320869
283	184666	6317659
284	185283	6315903
285	185865	6312943
286	186583	6314595
287	186941	6304073
288	187465	6299239
289	188127	6299014
290	188550	6290861
291	189160	6288939
292	189598	6281338
293	190159	6277866
294	190720	6274381
295	191448	6276420
296	192051	6274338
297	192590	6270182
298	193079	6264413
299	193802	6266290
300	194395	6263936
301	194990	6261660
302	195518	6257249
303	196080	6253938
304	196656	6251100
305	197204	6247394
306	197798	6245154
307	198347	6241491
308	198881	6237413
309	199565	6238038
310	200180	6236491
311	200673	6231164
312	201294	6229825
313	201818	6225516
314	202405	6223175
315	202973	6220238
316	203570	6218197
317	204097	6214069
318	204564	6208116
319	205217	6207830
320	205850	6206949
321	206525	6207318
322	207200	6207677
323	207751	6204324
324	208277	6200247
325	208843	6197392
326	209533	6198227
327	210074	6194623
328	210591	6190370
329	211153	6187435
330	211578	6180509
331	212211	6179707
332	212733	6175657
333	213327	6173718
334	213851	6169768
335	214417	6167057
336	214852	6160596
337	215359	6156222
338	215943	6154082
339	216410	6148594
340	216955	6145373
341	217486	6141778
342	218101	6140543
343	218561	6134975
344	219168	6133534
345	219668	6129120
346	220219	6126177
347	220769	6123194
348	221469	6124365
349	221972	6120095
350	222465	6115577
351	223047	6113521
352	223651	6112072
353	224327	6112601
354	224770	6106802
355	225310	6103633
356	225826	6099838
357	226355	6096414
358	226976	6095499
359	227538	6092966
360	228206	6093292
361	228710	6089253
362	229320	6088055
363	229854	6084841
364	230418	6082430
365	231006	6080658
366	231652	6080395
367	232152	6076331
368	232777	6075567
369	233327	6072819
370	233807	6068283
371	234406	6066856
372	234940	6063735
373	235543	6062423
374	236158	6061393
375	236720	6059034
376	237316	6057558
377	237858	6054686
378	238440	6052854
379	238836	6046345
380	239368	6043275
381	239908	6040425
382	240407	6036543
383	240982	6034611
384	241614	6034086
385	242174	6031788
386	242770	6030373
387	243238	6025785
388	243822	6024111
389	244468	6023951
390	245026	6021633
391	245636	6020607
392	246078	6015469
393	246549	6011058
394	247025	6006783
395	247535	6003353
396	248173	6003050
397	248781	6002010
398	249235	5997278
399	249605	5990543
400	250140	5987782
401	250639	5984173
402	251239	5982984
403	251666	5977704
404	252216	5975345
405	252720	5971912
406	253416	5973025
407	253908	5969348
408	254371	5964979
409	254969	5963796
410	255489	5960808
411	256015	5957951
412	256629	5957155
413	257211	5955637
414	257786	5953926
415	258403	5953213
416	259024	5952591
417	259537	5949498
418	260034	5946047
419	260527	5942511
420	261152	5941989
421	261821	5942476
422	262366	5940160
423	262929	5938245
424	263393	5934092
425	263898	5930906
426	264348	5926489
427	264915	5924703
428	265483	5922948
429	265828	5916231
430	266414	5914905
431	266939	5912216
432	267490	5910122
433	268136	5910131
434	268677	5907821
435	269273	5906725
436	269875	5905767
437	270378	5902642
438	270935	5900721
439	271507	5899120
440	272061	5897134
441	272628	5895446
442	273164	5893077
443	273674	5890155
444	274293	5889603
445	274862	5887983
446	275245	5882380
447	275906	5882711
448	276498	5881602
449	277074	5880139
450	277654	5878773
451	278205	5876788
452	278657	5872731
453	279318	5873071
454	279790	5869459
455	280409	5868911
456	280794	5863507
457	281269	5859992
458	281856	5858815
459	282313	5854928
460	282779	5851270
461	283314	5849032
462	283891	5847669
463	284465	5846262
464	284948	5842971
465	285410	5839268
466	286056	5839351
467	286618	5837710
468	287282	5838135
469	287838	5836375
470	288435	5835468
471	289009	5834067
472	289403	5829068
473	289848	5825093
474	290323	5821758
475	290921	5820865
476	291427	5818154
477	291892	5814651
478	292401	5812005
479	293016	5811489
480	293558	5809538
481	294020	5805984
482	294615	5805082
483	295167	5803335
484	295767	5802530
485	296280	5800034
486	296753	5796744
487	297289	5794709
488	297839	5792955
489	298444	5792257
490	299026	5791130
491	299602	5789880
492	300090	5786946
493	300725	5786834
494	301398	5787453
495	301971	5786168
496	302590	5785741
497	303077	5782807
498	303612	5780807
499	304182	5779472
500	304863	5780227
501	305390	5778078
502	305969	5776924
503	306628	5777269
504	307121	5774500
505	307630	5772023
506	308040	5767701
507	308598	5766172
508	309174	5764984
509	309681	5762511
510	310166	5759637
511	310807	5759646
512	311219	5755434
513	311662	5751801
514	312246	5750796
515	312640	5746286
516	313233	5745446
517	313835	5744763
518	314343	5742378
519	314830	5739600
520	315377	5737926
521	315919	5736178
522	316423	5733738
523	316916	5731110
524	317413	5728553
525	317751	5723160
526	318183	5719460
527	318767	5718488
528	319320	5716980
529	319776	5713737
530	320304	5711801
531	320729	5708021
532	321333	5707441
533	321812	5704636
534	322218	5700549
535	322838	5700272
536	323406	5699060
537	323856	5695774
538	324273	5691936
539	324839	5690714
540	325418	5689716
541	325913	5687247
542	326502	5686439
543	327047	5684862
544	327506	5681788
545	328099	5681048
546	328565	5678115
547	329103	5676435
548	329624	5674473
549	330127	5672182
550	330529	5668191
551	330954	5664599
552	331529	5663572
553	331961	5660130
554	332483	5658201
555	333065	5657317
556	333569	5655103
557	334147	5654162
558	334689	5652596
559	335117	5649131
560	335635	5647180
561	336164	5645416
562	336631	5642611
563	337051	5639047
564	337523	5636351
565	338040	5634405
566	338472	5631057
567	338909	5627802
568	339521	5627465
569	339966	5624363
570	340547	5623503
571	341026	5620967
572	341476	5617976
573	342042	5616879
574	342655	5616577
575	343238	5615760
576	343657	5612280
577	344063	5608588
578	344608	5607182
579	344996	5603218
580	345458	5600472
581	345951	5598232
582	346320	5594002
583	346817	5591837
584	347356	5590369
585	347965	5590013
586	348580	5589765
587	349131	5588483
588	349705	5587576
589	350205	5585482
590	350684	5583062
591	351208	5581366
592	351639	5578203
593	352124	5575893
594	352706	5575135
595	353113	5571607
596	353586	5569141
597	353941	5564811
598	354412	5562318
599	354913	5560311
600	355450	5558861
601	355969	5557138
602	356368	5553550
603	356767	5549978
604	357202	5546973
605	357833	5547003
606	358396	5545993
607	358877	5543719
608	359306	5540643
609	359798	5538535
610	360286	5536387
611	360757	5533970
612	361254	5531968
613	361821	5531034
614	362341	5529393
615	362981	5529570
616	363460	5527314
617	364033	5526469
618	364514	5524242
619	365022	5522431
620	365449	5519407
621	365914	5516956
622	366294	5513238
623	366780	5511108
624	367386	5510803
625	368000	5510605
626	368445	5507874
627	368865	5504786
628	369439	5504001
629	369903	5501586
630	370487	5500941
631	371012	5499439
632	371496	5497329
633	372136	5497524
634	372670	5496162
635	373145	5493924
636	373654	5492190
637	374181	5490725
638	374672	5488745
639	375212	5487476
640	375779	5486620
641	376320	5485368
642	376738	5482337
643	377226	5480331
644	377723	5478449
645	378135	5475351
646	378685	5474261
647	379252	5473407
648	379797	5472248
649	380269	5470025
650	380780	5468377
651	381198	5465399
652	381735	5464142
653	382258	5462671
654	382691	5459932
655	383189	5458110
656	383784	5457686
657	384251	5455438
658	384747	5453609
659	385255	5451951
660	385720	5449694
661	386160	5447081
662	386675	5445529
663	387103	5442765
664	387564	5440475
665	388183	5440397
666	388654	5438244
667	389133	5436224
668	389725	5435768
669	390183	5433452
670	390708	5432069
671	391155	5429604
672	391626	5427490
673	392176	5426472
674	392745	5425712
675	393324	5425084
676	393867	5423963
677	394329	5421734
678	394741	5418825
679	395305	5418005
680	395845	5416861
681	396314	5414744
682	396743	5412092
683	397197	5409779
684	397682	5407903
685	398195	5406403
686	398632	5403883
687	399169	5402708
688	399592	5400014
689	400001	5397115
690	400519	5395706
691	401051	5394485
692	401533	5392603
693	402062	5391344
694	402423	5387846
695	402721	5383500
696	403155	5381002
697	403574	5378293
698	404013	5375870
699	404453	5373450
700	404828	5370188
701	405355	5368938
702	405855	5367336
703	406272	5364640
704	406791	5363299
705	407304	5361881
706	407774	5359896
707	408198	5357323
708	408718	5355999
709	409137	5353367
710	409686	5352436
711	410082	5349496
712	410513	5347039
713	411053	5345998
714	411490	5343616
715	411939	5341404
716	412360	5338826
717	412772	5336147
718	413254	5334370
719	413857	5334161
720	414273	5331548
721	414729	5329440
722	415121	5326534
723	415642	5325281
724	416154	5323908
725	416625	5322021
726	417137	5320659
727	417626	5319000
728	418070	5316782
729	418553	5315059
730	419117	5314369
731	419515	5311572
732	419850	5307983
733	420251	5305248
734	420662	5302634
735	421170	5301254
736	421636	5299350
737	422211	5298816
738	422607	5296028
739	423127	5294807
740	423620	5293257
741	424112	5291684
742	424570	5289702
743	424939	5286611
744	425375	5284361
745	425771	5281623
746	426154	5278726
747	426642	5277131
748	427043	5274468
749	427463	5272047
750	427986	5270905
751	428412	5268568
752	428899	5266972
753	429361	5265093
754	429809	5263037
755	430355	5262182
756	430859	5260811
757	431357	5259375
758	431928	5258829
759	432418	5257299
760	432917	5255883
761	433366	5253862
762	433882	5252646
763	434451	5252088
764	434831	5249240
765	435253	5246909
766	435614	5243847
767	436123	5242563
768	436590	5240791
769	437065	5239110
770	437504	5237005
771	437969	5235211
772	438393	5232932
773	438971	5232493
774	439312	5229232
775	439748	5227108
776	440270	5226014
777	440756	5224496
778	441179	5222229
779	441605	5220002
780	442044	5217941
781	442385	5214717
782	442761	5211923
783	443300	5211041
784	443680	5208296
785	444030	5205215
786	444486	5203376
787	445075	5203092
788	445583	5201863
789	446010	5199694
790	446422	5197355
791	446902	5195801
792	447325	5193603
793	447721	5191093
794	448207	5189617
795	448556	5186576
796	449054	5185251
797	449467	5182959
798	449905	5180949
799	450231	5177661
800	450658	5175545
801	451032	5172816
802	451513	5171319
803	451973	5169584
804	452454	5168093
805	452892	5166121
806	453392	5164859
807	453822	5162789
808	454241	5160611
809	454675	5158605
810	455163	5157212
811	455530	5154454
812	455956	5152363
813	456385	5150318
814	456863	5148821
815	457250	5146312
816	457642	5143851
817	458108	5142236
818	458497	5139761
819	459019	5138776
820	459396	5136176
821	459828	5134194
822	460321	5132895
823	460742	5130789
824	461199	5129101
825	461572	5126476
826	461941	5123808
827	462327	5121335
828	462771	5119519
829	463250	5118080
830	463690	5116218
831	464084	5113854
832	464458	5111271
833	465028	5110849
834	465552	5109924
835	465965	5107780
836	466408	5105973
837	466773	5103314
838	467251	5101895
839	467708	5100249
840	468262	5099664
841	468716	5097988
842	469201	5096650
843	469562	5093970
844	469934	5091415
845	470393	5089808
846	470795	5087591
847	471323	5086734
848	471785	5085174
849	472104	5082064
850	472464	5079408
851	472827	5076786
852	473302	5075378
853	473724	5073405
854	474219	5072204
855	474754	5071440
856	475204	5069775
857	475663	5068196
858	476045	5065815
859	476468	5063866
860	476961	5062660
861	477410	5060989
862	477913	5059897
863	478332	5057927
864	478808	5056553
865	479336	5055724
866	479876	5055032
867	480344	5053580
868	480815	5052162
869	481233	5050183
870	481647	5048179
871	482072	5046276
872	482568	5045139
873	483091	5044267
874	483537	5042610
875	484045	5041593
876	484572	5040766
877	485122	5040187
878	485625	5039129
879	486035	5037092
880	486580	5036467
881	487069	5035264
882	487496	5033416
883	487907	5031411
884	488331	5029541
885	488850	5028654
886	489251	5026548
887	489650	5024432
888	490085	5022692
889	490503	5020774
890	490993	5019591
891	491467	5018257
892	492092	5018461
893	492528	5016743
894	493094	5016341
895	493517	5014486
896	493949	5012736
897	494318	5010341
898	494841	5009512
899	495279	5007825
900	495671	5005680
901	496223	5005140
902	496709	5003947
903	497141	5002211
904	497614	5000891
905	498061	4999303
906	498390	4996546
907	498851	4995107
908	499303	4993581
909	499823	4992737
910	500223	4990706
911	500586	4988300
912	500969	4986104
913	501387	4984250
914	501869	4983040
915	502381	4982132
916	502845	4980747
917	503350	4979769
918	503744	4977693
919	504281	4977041
920	504722	4975430
921	505122	4973427
922	505547	4971674
923	505998	4970171
924	506476	4968942
925	506990	4968064
926	507471	4966870
927	507977	4965916
928	508498	4965116
929	508966	4963787
930	509461	4962730
931	509903	4961160
932	510316	4959316
933	510690	4957086
934	511203	4956212
935	511780	4955955
936	512167	4953866
937	512610	4952317
938	513063	4950872
939	513583	4950074
940	513989	4948169
941	514412	4946445
942	514927	4945602
943	515324	4943625
944	515843	4942815
945	516221	4940664
946	516667	4939168
947	517122	4937756
948	517635	4936896
949	518238	4936906
950	518642	4935014
951	519086	4933501
952	519609	4932748
953	520069	4931396
954	520500	4929765
955	520937	4928202
956	521484	4927677
957	521982	4926685
958	522542	4926289
959	522899	4923970
960	523373	4922763
961	523842	4921501
962	524260	4919772
963	524603	4917340
964	525073	4916100
965	525420	4913719
966	525863	4912228
967	526330	4910969
968	526726	4909045
969	527155	4907433
970	527735	4907237
971	528203	4905986
972	528688	4904901
973	529101	4903150
974	529521	4901471
975	530026	4900568
976	530469	4899102
977	530854	4897105
978	531367	4896286
979	531864	4895323
980	532316	4893949
981	532729	4892216
982	533081	4889927
983	533588	4889055
984	534003	4887349
985	534406	4885535
986	534869	4884270
987	535216	4881952
988	535612	4880088
989	536039	4878497
990	536557	4877747
991	537050	4876765
992	537535	4875712
993	537997	4874455
994	538381	4872483
995	538756	4870442
996	539181	4868858
997	539603	4867246
998	540088	4866206
999	540466	4864198
1000	540976	4863382
1001	541347	4861319
1002	541778	4859799
1003	542292	4859024
1004	542784	4858056
1005	543379	4858005
1006	543793	4856340
1007	544323	4855710
1008	544696	4853680
1009	545206	4852881
1010	545661	4851581
1011	546101	4850159
1012	546604	4849295
1013	547111	4848465
1014	547533	4846883
