iter	Passed	Remaining
0	73	1478877
1	147	1475089
2	221	1473730
3	293	1466254
4	358	1434970
5	431	1437114
6	501	1431412
7	566	1415989
8	637	1415115
9	711	1421443
10	787	1431601
11	851	1418653
12	918	1412922
13	988	1410890
14	1065	1419264
15	1125	1405864
16	1191	1401047
17	1262	1401992
18	1341	1410325
19	1412	1410600
20	1482	1410895
21	1555	1412100
22	1619	1406230
23	1688	1405727
24	1759	1405728
25	1827	1404112
26	1891	1399554
27	1968	1403801
28	2034	1400922
29	2099	1397884
30	2161	1392630
31	2227	1389727
32	2295	1388701
33	2364	1388794
34	2434	1388923
35	2506	1389886
36	2578	1390958
37	2649	1391657
38	2714	1389490
39	2787	1391037
40	2848	1386630
41	2920	1387854
42	2991	1388514
43	3048	1382612
44	3108	1378524
45	3175	1377594
46	3239	1375346
47	3310	1375992
48	3368	1371705
49	3433	1369900
50	3499	1368699
51	3567	1368695
52	3642	1370987
53	3712	1371436
54	3783	1372136
55	3841	1368277
56	3904	1366224
57	3971	1365417
58	4048	1368326
59	4112	1366808
60	4184	1367770
61	4261	1370531
62	4317	1366181
63	4386	1366340
64	4456	1366855
65	4533	1369156
66	4605	1370041
67	4673	1369780
68	4738	1368703
69	4804	1367884
70	4863	1365254
71	4928	1364229
72	4992	1362773
73	5059	1362274
74	5124	1361289
75	5194	1361664
76	5269	1363332
77	5340	1363927
78	5408	1363768
79	5471	1362367
80	5542	1363039
81	5606	1361839
82	5681	1363249
83	5743	1361862
84	5807	1360730
85	5876	1360784
86	5949	1361657
87	6022	1362742
88	6093	1363307
89	6167	1364304
90	6242	1365642
91	6313	1366094
92	6381	1365987
93	6453	1366556
94	6517	1365527
95	6580	1364416
96	6653	1365150
97	6716	1363943
98	6787	1364392
99	6857	1364712
100	6931	1365660
101	7000	1365693
102	7070	1365832
103	7141	1366268
104	7216	1367408
105	7288	1367818
106	7366	1369501
107	7432	1368954
108	7491	1367109
109	7561	1367182
110	7629	1367090
111	7698	1367057
112	7770	1367455
113	7840	1367692
114	7902	1366454
115	7975	1367025
116	8035	1365582
117	8102	1365171
118	8175	1365785
119	8234	1364184
120	8307	1364851
121	8377	1365062
122	8448	1365248
123	8520	1365688
124	8593	1366310
125	8660	1365988
126	8725	1365319
127	8791	1364918
128	8862	1365184
129	8935	1365695
130	9015	1367427
131	9078	1366430
132	9145	1366103
133	9219	1366893
134	9289	1366977
135	9352	1366008
136	9420	1365894
137	9497	1366918
138	9569	1367363
139	9632	1366440
140	9699	1366062
141	9767	1365921
142	9836	1365895
143	9905	1365911
144	9979	1366533
145	10054	1367286
146	10121	1366939
147	10184	1366111
148	10254	1366231
149	10322	1365982
150	10392	1366081
151	10457	1365485
152	10526	1365462
153	10596	1365583
154	10669	1366006
155	10733	1365312
156	10805	1365651
157	10872	1365386
158	10940	1365179
159	11003	1364446
160	11069	1363990
161	11141	1364399
162	11216	1364986
163	11278	1364116
164	11342	1363451
165	11415	1363894
166	11484	1363881
167	11558	1364430
168	11623	1363926
169	11688	1363443
170	11754	1363070
171	11828	1363624
172	11896	1363405
173	11965	1363393
174	12034	1363362
175	12096	1362464
176	12172	1363274
177	12235	1362484
178	12309	1363003
179	12371	1362213
180	12441	1362266
181	12513	1362600
182	12589	1363293
183	12659	1363387
184	12734	1363989
185	12803	1363951
186	12872	1363867
187	12945	1364195
188	13005	1363238
189	13077	1363500
190	13150	1363859
191	13221	1363973
192	13289	1363848
193	13351	1363055
194	13420	1363076
195	13495	1363547
196	13561	1363278
197	13625	1362692
198	13691	1362388
199	13756	1361936
200	13823	1361692
201	13889	1361337
202	13958	1361301
203	14028	1361322
204	14095	1361101
205	14165	1361148
206	14233	1360947
207	14307	1361379
208	14378	1361581
209	14445	1361339
210	14507	1360567
211	14577	1360702
212	14652	1361166
213	14721	1361138
214	14788	1360887
215	14856	1360778
216	14930	1361134
217	15001	1361321
218	15078	1361994
219	15141	1361368
220	15211	1361403
221	15282	1361542
222	15350	1361386
223	15414	1360914
224	15490	1361454
225	15547	1360340
226	15611	1359854
227	15679	1359690
228	15741	1359066
229	15807	1358767
230	15878	1358853
231	15949	1359016
232	16020	1359141
233	16091	1359248
234	16155	1358797
235	16220	1358425
236	16293	1358663
237	16357	1358250
238	16437	1359070
239	16504	1358884
240	16575	1358950
241	16645	1359050
242	16711	1358760
243	16781	1358766
244	16843	1358104
245	16909	1357851
246	16969	1357039
247	17036	1356839
248	17103	1356688
249	17175	1356845
250	17247	1357074
251	17315	1356946
252	17380	1356540
253	17448	1356457
254	17503	1355331
255	17575	1355486
256	17632	1354549
257	17697	1354197
258	17767	1354210
259	17841	1354552
260	17915	1354902
261	17981	1354652
262	18049	1354568
263	18113	1354114
264	18180	1353920
265	18244	1353546
266	18316	1353677
267	18393	1354222
268	18467	1354583
269	18539	1354729
270	18607	1354623
271	18682	1355021
272	18758	1355480
273	18826	1355363
274	18893	1355155
275	18956	1354703
276	19019	1354210
277	19079	1353537
278	19147	1353445
279	19214	1353282
280	19277	1352785
281	19346	1352766
282	19418	1352892
283	19491	1353157
284	19563	1353317
285	19637	1353620
286	19710	1353872
287	19783	1354048
288	19851	1353982
289	19924	1354176
290	19983	1353473
291	20052	1353376
292	20114	1352907
293	20182	1352765
294	20251	1352733
295	20314	1352303
296	20380	1352010
297	20441	1351501
298	20510	1351419
299	20583	1351637
300	20653	1351700
301	20721	1351594
302	20789	1351460
303	20851	1350962
304	20925	1351232
305	20989	1350842
306	21063	1351129
307	21125	1350647
308	21196	1350760
309	21269	1350970
310	21337	1350837
311	21405	1350757
312	21475	1350789
313	21545	1350759
314	21616	1350850
315	21681	1350567
316	21748	1350419
317	21811	1349966
318	21879	1349892
319	21944	1349565
320	22015	1349645
321	22084	1349615
322	22147	1349216
323	22213	1348961
324	22280	1348856
325	22351	1348879
326	22418	1348740
327	22487	1348729
328	22555	1348582
