iter	MultiClass
0	1.367343535
1	1.350418729
2	1.334785024
3	1.320127852
4	1.306706503
5	1.293733657
6	1.282239659
7	1.271530835
8	1.261563835
9	1.252378904
10	1.24395102
11	1.235939491
12	1.228541871
13	1.221363775
14	1.214852717
15	1.208927377
16	1.203266553
17	1.198047728
18	1.19311994
19	1.188649957
20	1.184260408
21	1.180097198
22	1.176222227
23	1.172514762
24	1.169141401
25	1.165918662
26	1.163013251
27	1.160186433
28	1.157555524
29	1.1550533
30	1.152751929
31	1.150601884
32	1.148529732
33	1.146514317
34	1.144651772
35	1.142915937
36	1.141266599
37	1.139687638
38	1.138214775
39	1.136799457
40	1.13549544
41	1.134245221
42	1.133078179
43	1.131961467
44	1.130925198
45	1.129949863
46	1.12901849
47	1.128119362
48	1.127243831
49	1.126425091
50	1.125671215
51	1.124955962
52	1.124295188
53	1.123636287
54	1.123021337
55	1.122450355
56	1.121909111
57	1.121394595
58	1.120909643
59	1.120425226
60	1.119979946
61	1.119560262
62	1.119175959
63	1.118801916
64	1.118455342
65	1.118114283
66	1.117811007
67	1.117493552
68	1.117195296
69	1.116904795
70	1.116630435
71	1.116372424
72	1.116127599
73	1.115893527
74	1.115662465
75	1.115452032
76	1.115233313
77	1.115027654
78	1.114837329
79	1.114659936
80	1.114487842
81	1.114321111
82	1.114164755
83	1.114016117
84	1.113867106
85	1.113717639
86	1.113578595
87	1.113461964
88	1.113340048
89	1.113218024
90	1.113107208
91	1.112987377
92	1.112871068
93	1.112757698
94	1.112656111
95	1.112547094
96	1.112450784
97	1.112348017
98	1.112242586
99	1.112160125
100	1.112080714
101	1.111993955
102	1.111911026
103	1.111818526
104	1.111747426
105	1.111677193
106	1.111595796
107	1.11152607
108	1.111465229
109	1.111401175
110	1.111336205
111	1.111272957
112	1.111213411
113	1.111152062
114	1.111084454
115	1.111013703
116	1.110955131
117	1.110895051
118	1.110835153
119	1.110778106
120	1.11072051
121	1.110664938
122	1.110603211
123	1.110551719
124	1.110499087
125	1.110438715
126	1.110380844
127	1.11033203
128	1.110286113
129	1.110240334
130	1.11019787
131	1.110146811
132	1.110097371
133	1.110034114
134	1.109982246
135	1.109933594
136	1.10989175
137	1.10984901
138	1.109797143
139	1.109756038
140	1.109713345
141	1.109661621
142	1.109632551
143	1.109580573
144	1.109529768
145	1.109466675
146	1.10943248
147	1.109392879
148	1.109349356
149	1.109300226
150	1.109261449
151	1.109211039
152	1.109171812
153	1.109119224
154	1.109072605
155	1.109025629
156	1.108989814
157	1.108953273
158	1.108912818
159	1.108867287
160	1.108809056
161	1.108772107
162	1.1087281
163	1.108691075
164	1.108652414
165	1.108620525
166	1.108586366
167	1.108546681
168	1.108506594
169	1.108484831
170	1.108441809
171	1.108398605
172	1.108367768
173	1.108328689
174	1.108292814
175	1.108253789
176	1.108206482
177	1.10817069
178	1.108129312
179	1.108087215
180	1.108028183
181	1.107994195
182	1.107949477
183	1.107927831
184	1.107909393
185	1.107889049
186	1.107859791
187	1.107839308
188	1.107799108
189	1.107756108
190	1.107717251
191	1.107680961
192	1.107661682
193	1.107629548
194	1.107610586
195	1.107575079
196	1.107543115
197	1.107523286
198	1.107477229
199	1.107430998
200	1.107409718
201	1.107391245
202	1.107360736
203	1.107336976
204	1.107293235
205	1.107265696
206	1.107241341
207	1.107210175
208	1.107174639
209	1.107138325
210	1.107101298
211	1.10706771
212	1.107030088
213	1.107010479
214	1.106972499
215	1.106941355
216	1.106915673
217	1.106898449
218	1.106856305
219	1.106836001
220	1.10680431
221	1.106758117
222	1.106731431
223	1.106689075
224	1.106673095
225	1.106642572
226	1.106602667
227	1.106599198
228	1.106554707
229	1.106539685
230	1.106490054
231	1.106463474
232	1.106427809
233	1.106389381
234	1.106373692
235	1.106345735
236	1.106328266
237	1.106281413
238	1.106250099
239	1.106212483
240	1.106180543
241	1.106144317
242	1.106111665
243	1.106088308
244	1.106050167
245	1.106024378
246	1.10598905
247	1.105952981
248	1.105936804
249	1.10589405
250	1.105874459
251	1.105845751
252	1.105828384
253	1.105782395
254	1.105777618
255	1.105761026
256	1.105757686
257	1.10574084
258	1.10571447
259	1.105678192
260	1.105653465
261	1.105612496
262	1.105576881
263	1.10555355
264	1.105534914
265	1.105512223
266	1.10548959
267	1.105451295
268	1.105430395
269	1.105409078
270	1.105365256
271	1.105331992
272	1.105304135
273	1.105279124
274	1.105260337
275	1.105223093
276	1.105178149
277	1.105149137
278	1.10512503
279	1.10510972
280	1.105076605
281	1.105038254
282	1.105007853
283	1.104980678
284	1.104977423
285	1.104940841
286	1.10492498
287	1.104920475
288	1.104897382
289	1.104877673
290	1.104839076
291	1.104835446
292	1.104797757
293	1.104764084
294	1.104736015
295	1.104722114
296	1.104708402
297	1.104681907
298	1.104667684
299	1.104653313
300	1.104621507
301	1.104587073
302	1.104545578
303	1.104523236
304	1.104508806
305	1.104479293
306	1.104461395
307	1.104441315
308	1.104409948
309	1.104386257
310	1.104372388
311	1.10434541
312	1.10432046
313	1.104316176
314	1.104285724
315	1.104266871
316	1.104247343
317	1.104238589
318	1.104210917
319	1.104180711
320	1.104170462
321	1.104155065
322	1.104136199
323	1.104101615
324	1.104098508
325	1.104064197
326	1.104049096
327	1.104025882
328	1.104002197
329	1.103997972
330	1.103984378
331	1.103962607
332	1.103940304
333	1.103937033
334	1.103910306
335	1.103906073
336	1.10389089
337	1.103869791
338	1.103858458
339	1.103815456
340	1.10379049
341	1.103777022
342	1.103743872
343	1.103736326
344	1.103704655
345	1.10369085
346	1.103681053
347	1.103667344
348	1.103638502
349	1.10361105
350	1.103580589
351	1.103552132
352	1.103529545
