iter	Passed	Remaining
0	31	31461
1	63	31569
2	94	31529
3	127	31650
4	159	31815
5	190	31570
6	223	31735
7	257	31991
8	291	32104
9	323	32025
10	356	32031
11	389	32066
12	422	32078
13	453	31942
14	488	32052
15	520	32011
16	552	31960
17	584	31900
18	616	31847
19	649	31808
20	681	31784
21	714	31752
22	745	31681
23	778	31643
24	810	31601
25	841	31537
26	874	31505
27	906	31464
28	937	31404
29	970	31381
30	1002	31325
31	1033	31277
32	1065	31236
33	1098	31209
34	1130	31156
35	1161	31113
36	1193	31069
37	1226	31048
38	1258	31002
39	1290	30982
40	1322	30943
41	1355	30921
42	1387	30880
43	1419	30847
44	1451	30801
45	1483	30759
46	1515	30727
47	1548	30703
48	1580	30683
49	1613	30648
50	1644	30607
51	1677	30583
52	1710	30555
53	1741	30514
54	1773	30469
55	1805	30429
56	1838	30416
57	1874	30436
58	1906	30407
59	1938	30364
60	1971	30345
61	2003	30313
62	2035	30278
63	2067	30238
64	2100	30209
65	2131	30168
66	2164	30138
67	2196	30111
68	2229	30076
69	2261	30047
70	2293	30011
71	2326	29988
72	2358	29956
73	2391	29923
74	2424	29902
75	2458	29893
76	2491	29870
77	2524	29844
78	2558	29823
79	2591	29800
80	2624	29775
81	2656	29743
82	2688	29707
83	2721	29675
84	2753	29638
85	2785	29598
86	2817	29566
87	2849	29527
88	2881	29491
89	2913	29455
90	2944	29416
91	2977	29382
92	3009	29348
93	3041	29318
94	3074	29289
95	3106	29251
96	3138	29219
97	3171	29189
98	3204	29167
99	3237	29134
100	3268	29094
101	3300	29061
102	3333	29027
103	3364	28990
104	3397	28957
105	3429	28923
106	3462	28898
107	3497	28884
108	3529	28853
109	3563	28833
110	3596	28802
111	3628	28768
112	3661	28738
113	3693	28704
114	3726	28675
115	3758	28641
116	3790	28609
117	3823	28577
118	3854	28539
119	3887	28508
120	3919	28471
121	3951	28439
122	3984	28411
123	4017	28383
124	4050	28351
125	4082	28316
126	4114	28285
127	4147	28253
128	4179	28220
129	4212	28189
130	4243	28152
131	4275	28117
132	4308	28085
133	4340	28053
134	4373	28021
135	4405	27987
136	4437	27953
137	4469	27920
138	4501	27883
139	4533	27848
140	4565	27814
141	4598	27782
142	4629	27744
143	4661	27709
144	4693	27676
145	4724	27637
146	4757	27606
147	4789	27572
148	4822	27542
149	4854	27507
150	4886	27475
151	4919	27443
152	4951	27411
153	4983	27378
154	5015	27344
155	5047	27310
156	5080	27280
157	5117	27270
158	5150	27242
159	5183	27213
160	5215	27178
161	5247	27145
162	5280	27114
163	5312	27082
164	5344	27047
165	5377	27016
166	5410	26987
167	5443	26956
168	5475	26924
169	5508	26892
170	5540	26858
171	5572	26826
172	5605	26794
173	5636	26759
174	5668	26724
175	5701	26694
176	5733	26659
177	5765	26626
178	5797	26592
179	5829	26557
180	5861	26523
181	5893	26488
182	5925	26454
183	5956	26416
184	5989	26385
185	6020	26346
186	6052	26315
187	6084	26282
188	6118	26253
189	6150	26218
190	6183	26189
191	6214	26154
192	6245	26115
193	6276	26077
194	6307	26039
195	6340	26006
196	6372	25975
197	6403	25937
198	6436	25908
199	6469	25876
200	6500	25839
201	6531	25800
202	6562	25763
203	6594	25730
204	6627	25699
205	6658	25663
206	6690	25630
207	6726	25613
208	6760	25584
209	6793	25554
210	6824	25520
211	6857	25488
212	6889	25456
213	6921	25421
214	6953	25387
215	6985	25356
216	7019	25326
217	7052	25297
218	7083	25260
219	7114	25223
220	7147	25194
221	7180	25164
222	7212	25131
223	7245	25099
224	7276	25063
225	7312	25043
226	7344	25010
227	7375	24973
228	7407	24940
229	7440	24910
230	7472	24877
231	7504	24843
232	7537	24812
233	7569	24779
234	7600	24742
235	7633	24711
236	7664	24674
237	7696	24642
238	7728	24608
239	7761	24577
240	7796	24553
241	7828	24521
242	7861	24489
243	7894	24459
244	7926	24427
245	7959	24395
246	7991	24362
247	8023	24328
248	8054	24291
249	8086	24259
250	8117	24223
251	8149	24191
252	8182	24160
253	8214	24127
254	8245	24088
255	8276	24053
256	8309	24024
257	8343	23996
258	8374	23960
259	8407	23928
260	8439	23894
261	8471	23861
262	8504	23830
263	8536	23797
264	8566	23760
265	8599	23729
266	8630	23693
267	8663	23662
268	8693	23625
269	8724	23589
270	8757	23557
271	8789	23525
272	8822	23494
273	8855	23463
274	8886	23427
275	8918	23394
276	8950	23361
277	8983	23330
278	9015	23298
279	9046	23262
280	9078	23230
281	9110	23196
282	9143	23165
283	9176	23134
284	9206	23096
285	9238	23063
286	9271	23032
287	9301	22996
288	9334	22964
289	9367	22934
290	9399	22900
291	9429	22864
292	9462	22831
293	9494	22798
294	9526	22766
295	9557	22730
296	9588	22695
297	9619	22661
298	9650	22625
299	9682	22591
300	9714	22559
301	9746	22526
302	9778	22494
303	9810	22461
304	9841	22426
305	9873	22393
306	9905	22360
307	9940	22334
308	9973	22302
309	10005	22270
310	10036	22235
311	10068	22202
312	10101	22171
313	10131	22135
314	10164	22104
315	10195	22068
316	10227	22036
317	10258	22000
318	10291	21969
319	10323	21937
320	10354	21901
321	10384	21866
322	10417	21834
323	10449	21801
324	10480	21766
325	10512	21734
326	10543	21699
327	10576	21668
328	10608	21636
329	10638	21599
330	10671	21568
331	10703	21536
332	10735	21502
333	10765	21466
334	10798	21434
335	10828	21399
336	10859	21363
337	10890	21330
338	10923	21299
339	10955	21266
340	10988	21235
341	11019	21201
342	11051	21168
343	11083	21136
344	11115	21103
345	11148	21073
346	11181	21041
347	11212	21006
348	11243	20973
349	11276	20942
350	11308	20910
351	11341	20877
352	11371	20843
353	11404	20810
354	11437	20780
355	11467	20745
356	11500	20713
357	11535	20685
358	11567	20654
359	11600	20622
360	11632	20590
361	11665	20559
362	11696	20525
363	11729	20493
364	11761	20462
365	11793	20429
366	11826	20398
367	11859	20366
368	11891	20335
369	11922	20300
370	11953	20265
371	11983	20230
372	12014	20196
373	12047	20164
374	12079	20132
375	12113	20102
376	12145	20070
377	12178	20040
378	12208	20004
379	12239	19969
380	12271	19937
381	12303	19905
382	12336	19873
383	12369	19842
384	12401	19810
385	12433	19777
386	12466	19745
387	12497	19712
388	12528	19678
389	12560	19645
390	12593	19614
391	12625	19581
392	12657	19549
393	12689	19517
394	12720	19483
395	12751	19449
396	12783	19417
397	12815	19383
398	12846	19349
399	12877	19316
400	12909	19284
401	12942	19252
402	12974	19220
403	13005	19185
404	13037	19153
405	13069	19121
406	13102	19089
407	13136	19060
408	13168	19028
409	13199	18994
410	13231	18961
411	13263	18929
412	13294	18895
413	13326	18863
414	13359	18831
415	13391	18799
416	13421	18764
417	13453	18731
418	13485	18699
419	13518	18668
420	13551	18637
421	13582	18603
422	13613	18569
423	13646	18539
424	13679	18506
425	13710	18473
426	13742	18441
427	13774	18408
428	13804	18374
429	13837	18342
430	13867	18307
431	13898	18273
432	13929	18240
433	13961	18207
434	13993	18175
435	14023	18140
436	14055	18108
437	14088	18077
438	14119	18043
439	14150	18009
440	14182	17977
441	14213	17943
442	14246	17912
443	14278	17880
444	14310	17848
445	14342	17815
446	14374	17783
447	14406	17751
448	14437	17716
449	14469	17684
450	14500	17651
451	14532	17619
452	14565	17587
453	14595	17553
454	14628	17522
455	14660	17489
456	14691	17456
457	14725	17426
